spec_id,column,show,DDF_unit,inverse,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
,0,1,,0,11924,10,"PAK, block with 4 pieces",perfect,green,!=,"""""",,,,,,
,0,1,,0,5357,10,Benzo(a)anthracene,perfect,green,<=,3,,,,,,
,0,1,,0,5357,10,Benzo(a)anthracene,OK,orange,>,3,AND,<=,10,,,
,0,1,,0,5357,10,Benzo(a)anthracene,not OK,red,>,10,,,,,,
,0,1,,0,5358,10,Chrysene,perfect,green,<=,3,,,,,,
,0,1,,0,5358,10,Chrysene,OK,orange,>,3,AND,<=,10,,,
,0,1,,0,5358,10,Chrysene,not OK,red,>,10,,,,,,
,0,1,,0,5359,10,Benzo(b)fluoranthene,perfect,green,<=,3,,,,,,
,0,1,,0,5359,10,Benzo(b)fluoranthene,OK,orange,>,3,AND,<=,10,,,
,0,1,,0,5359,10,Benzo(b)fluoranthene,not OK,red,>,10,,,,,,
,0,1,,0,5360,10,Benzo(a)pyrene,perfect,green,<=,3,,,,,,
,0,1,,0,5360,10,Benzo(a)pyrene,OK,orange,>,3,AND,<=,10,,,
,0,1,,0,5360,10,Benzo(a)pyrene,not OK,red,>,10,,,,,,
,0,1,,0,5361,50,Sum of PAHs,perfect,green,<=,15,,,,,,
,0,1,,0,5361,50,Sum of PAHs,perfect,green,=,nicht nachw.,OR,=,not detectable,,,
,0,1,,0,5361,50,Sum of PAHs,OK,orange,>,15,AND,<=,50,,,
,0,1,,0,5361,50,Sum of PAHs,not OK,red,>,50,,,,,,